Word,Sentiment
qumësht acidophilus,-1
acidotike,1
acidike,-1
aciditeti,-1
pranoj,1
të pranueshme,1
pranoi,1
aknet,-1
akneiforme,-1
të ftohtë,-1
akolit,-1
acorea,-1
në formë lisi,1
kitare akustike,1
në mënyrë akustike,1
akustikë,1
njohje,1
i njohur,1
pranim,1
e arritshme,1
hemokromatoza e fituar,-1
imuniteti i fituar,1
përvetësimi,1
përvetësim,1
shfajësimi,1
i ashpër,-1
ashpërsi,-1
në mënyrë të ashpër,-1
ashpërsi,-1
i ashpër,-1
në mënyrë të ashpër,-1
ashpërsi,-1
kritike,-1
akroanestezi,-1
akrobat,1
marifet akrobatik,-1
akromegalike,-1
akromegalia,-1
akronim,1
akrofobi,1
akrofobik,-1
akrilamid,-1
akrilik,-1
veprojnë,1
Vepro,1
veprues,1
duke vepruar,1
duke vepruar,-1
dermatiti aktinik,-1
aktinomyces,-1
aktinomikoza,-1
aktinomikotike,-1
aktinopodi,1
veprim,1
pikturë në veprim,1
vepruese,1
aktivizuar,-1
aktive,1
agjent aktiv,1
imuniteti aktiv,1
në mënyrë aktive,1
aktivitet,1
aktuale,1
mëkati aktual,1
aktualizoj,1
i akumuluar,1
mendjemprehtësi,1
mprehtë,1
akute,1
gastrit akut,-1
glositis akut,-1
encefaliti akut hemorragjik,1
leuçemia limfocitare akute,-1
leuçemia akute mieloide,-1
sindroma akute organike e trurit,1
pielonefriti akut,-1
insuficienca renale akute,-1
trekëndëshi akut,1
në mënyrë akute,1
mprehtësia,1
aciklike,1
ad hoc,1
ad hominem,1
ad infinitum,-1
ada scid,-1
adaktile,-1
në mënyrë adaktile,-1
adagio,1
këmbëngulës,-1
me këmbëngulje,-1
përshtaten,1
përshtatshmëria,1
i adaptueshëm,1
adaptive,1
në mënyrë adaksale,1
shtoni në,1
fier gjuha e aderit,1
i shtueshem,1
i varur,-1
i varur,-1
të varur,-1
varësia,1
të varurit,-1
aditiv,-1
përpunoj,-1
i shtuar,-1
i adresueshëm,1
drejtuar,1
adeniti,-1
adenopatia,1
adekuate,1
në mënyrë adekuate,1
adekuate,-1
përmbahen,1
ngjitës,-1
adiabatike,-1
procesi adiabatik,-1
aditi,-1
në mënyrë mbiemërore,1
dhomë ngjitur,-1
ndihmës,-1
adhurim,1
rregulloj,1
e rregullueshme,1
rregulluar,-1
rregulluese,1
e administrueshme,1
administrative,1
administratori,-1
e admirueshme,1
në mënyrë të admirueshme,1
admirim,1
admiroj,1
i admiruar,1
admirues,1
duke admiruar,1
me admirim,1
e pranueshme,-1
pranimi,1
pranues,1
pranoj,1
e pranueshme,-1
këshilloj,-1
këshillues,-1
në mënyrë paralajmëruese,-1
qortim,-1
këshillë,-1
qerpiçi,1
adonis,1
të adoptueshme,1
adoptuese,1
i adhurueshëm,1
adhurueshmëria,1
adhuroj,1
i adhuruar,1
adhurues,1
duke adhuruar,1
me adhurim,1
stolisje,1
pika syri agonist adrenergjik,1
medikament adrenergjik,1
adrenokortikotropike,1
i shkathët,1
me mjeshtëri,1
adsorboj,1
adhuroj,1
adhurim,-1
adhuruese,1
i rritur,-1
arsimimi i të rriturve,-1
inteligjenca e të rriturve,-1
falsifikoj,-1
i falsifikuar,-1
falsifikimi,-1
tradhtar bashkëshortor,-1
bashkëshortore,-1
kurorëshkelje,1
përpara,1
i avancuar,-1
avantazh,1
të favorshme,1
në mënyrë të favorshme,1
Përparësitë,1
rastësore,-1
adventive,-1
aventuriere,1
aventurizmi,1
aventureske,1
kundërshtare,-1
kundërshtar,-1
i pafavorshëm,-1
opinion i kundërt,-1
në mënyrë të pafavorshme,1
fatkeqësia,-1
rastësi,1
divizioni i reklamave,1
këshillueshmëria,1
e këshillueshme,1
avokat,1
të mbrojtura,1
avokatët,1
adinamia,-1
egjiptopithecus,1
aerobe,1
aerobike,1
ezopi,-1
larg,1
i frikësuar,-1
dashamirësi,1
i dashur,1
me dashuri,1
përkëdhelje,1
të prekura,1
në mënyrë të prekur,-1
prekshmëria,-1
dashuri,1
i dashur,1
afiniteti,-1
pohoj,1
pohim,1
pohuese,1
në mënyrë pozitive,1
afirmativiteti,1
pohuese,1
të ngjitur,1
afflatus,1
mundoj,-1
vuajtje,-1
të dhimbshme,-1
begati,1
të pasura,1
përballojë,1
të përballueshme,1
në mënyrë të përballueshme,1
fyerje,-1
afibrinogenemia,-1
të përballueshme,1
frikësuar,-1
paruke afro,-1
pas një mode,-1
pas te gjithave,-1
pas disa oresh,-1
pas shkëlqim,1
pasmendim,-1
agalaktoza,-1
agamaglobulinemia,-1
agape,1
agape dashuri,1
mosha,1
norma e moshës,1
mosha e pëlqimit,-1
mosplakje,1
agenesis,-1
agjent,1
agerazia,1
testi i aglutinimit,-1
rëndojnë,-1
e rënduar,-1
sulm i rëndë,-1
rënduese,-1
rëndim,-1
agregat,-1
sulm,-1
agresive,1
agresiviteti,-1
agresor,-1
acaroj,-1
i pakënaqur,-1
rëndim,-1
aggro,-1
i tmerruar,-1
i shkathët,1
i shkathët,1
shkathtësi,1
moshimi,1
i trazuar,-1
agjitacion,-1
aglaia,1
agnosia,-1
agnostike,1
agog,1
agonadal,-1
agonale,-1
agonitë,-1
agonizoj,-1
i vuajtur,-1
vuajtëse,-1
me vuajtje,-1
agoni,-1
agorafobik,-1
agranulocitare,-1
agrapha,-1
dakord,1
e pranueshme,1
pajtueshmëria,1
në mënyrë të këndshme,1
marrëveshje,1
agromania,-1
në tokë,-1
ague,1
vuajtur,-1
përpara,1
ahimsa,1
ahistorike,-1
ahriman,-1
ahura,1
sëmundje,-1
i sëmurë,-1
sëmundje,-1
pa qëllim,-1
pa qëllim,1
tharë në ajër,-1
thatë në ajër,-1
e mbushur me ajër,-1
ajrosni,-1
shuarje e ajrit,-1
airedale terrier,-1
hermetike,-1
i vlefshëm për fluturim,1
i ajrosur,-1
i hapur,-1
akariotë,-1
al dente,1
alakritoze,1
alalia,-1
alarmi,-1
i alarmuar,-1
alarmante,-1
në mënyrë alarmante,1
alarmizmi,-1
alarmues,-1
albinizmi,-1
albinotike,-1
albion,1
alkimist,1
i tretshëm në alkool,-1
alkoolizoj,-1
plagë alder,-1
reaksioni i aldolit,-1
aleatore,1
alef zero,-1
alarmues,-1
vigjilent,1
aleksik,-1
algat,-1
algjebër,-1
në mënyrë algjebrike,1
algjiditeti,1
algoagnik,-1
algometri,-1
algofilia,-1
algofobia,-1
algofobik,-1
gabim algoritmi,-1
alibi,-1
tjetërsoj,-1
të tjetërsuar,-1
tjetërsues,-1
tjetërsimi,-1
tjetërsimi i dashurisë,-1
tjetërsues,-1
alienizmi,-1
alienist,-1
rreshtoj,-1
njësoj,1
pjesë aliquant,-1
të gjallë,1
aliyah,1
alizarin e verdhë,-1
alkalemia,-1
alkalescent,-1
helmimi nga alkali,-1
alkaline dashuruar,-1
alkaloza,-1
alkalotike,1
alkaptonuria,1
të gjitha,1
gjithandej,1
të gjitha gllabëruese,-1
të gjitha ose asgjë,-1
gjithe rrugen,-1
gjithe kohes,1
të gjithë fitimtarë,-1
te gjitha stinet,-1
alantoike,1
allargando,1
pretendim,-1
akuzat,-1
pretendojnë,-1
pretendim,1
besnik,1
në mënyrë alegorike,1
alegreto,1
alegro,1
allegro con spirito,1
alergjike,-1
rinitit alergjik,-1
alergjitë,-1
alergji,-1
lehtësues,-1
mace rrugice,-1
aleate,-1
aligator,-1
në mënyrë aliterative,1
alomerizëm,-1
ndarje,1
alotropike,1
të aliazhuara,-1
joshje,1
joshëse,1
në mënyrë joshëse,1
aluziv,1
aluziviteti,1
sy bajame,1
me aromë bajameje,-1
lëmoshë,-1
lëmoshë,-1
lart,1
i përmbajtur,1
alopecia areata,-1
alp,1
alfa,1
alfa globulina,-1
alfa private,-1
supë me alfabet,-1
alpinizmin,-1
alpinist,-1
tashmë,1
ne rregull,1
djalë altar,1
ndryshueshmëria,1
i ndryshueshëm,1
grindje,-1
i ndryshuar,-1
alternativë,-1
energji alternative,-1
altissimo,1
lartësi mbidetare,1
altruiste,1
në mënyrë altruiste,1
bronz alumini,1
oksid alumini,-1
resorbimi alveolar,-1
alveoliti,-1
alzheimer,-1
përsëri,-1
amalgamative,-1
amastia,-1
amator,-1
amatorisht,1
amatorizmi,-1
amaurosis,-1
amurotike,-1
mahnitin,1
i habitur,1
habi,1
mahnit,1
e mahnitshme,1
në mënyrë të mahnitshme,1
ambages,-1
ambasador,-1
ambidekstë,1
ambienti,1
paqartësi,1
i paqartë,-1
ambicie,1
ambicioz,1
në mënyrë ambicioze,1
ambicioziteti,1
ambivalencë,-1
ambivalencë,-1
ambivalent,-1
ambiversioni,-1
ambiversive,-1
ambroziane,1
ambuloj,-1
pritë,-1
amd,1
amelia,-1
përmirësoj,1
të pranueshme,-1
i ndryshuar,1
amendament,-1
komoditet,1
amenorrea,-1
amentifer,1
i paqëndrueshëm,-1
kalë me shalë amerikane,1
versioni standard amerikan,1
metabolike,-1
ametaboloze,-1
ametist,-1
ametria,-1
ametropia,-1
ametropike,-1
dashamirësi,1
miqësisht,1
i dashur,1
miqësi,1
miqësore,1
miqësi,-1
miqësisht,1
shkurt amicus curiae,-1
mik,1
amino grup,1
aminoaciduria,1
gabim,-1
miqësi,-1
amoniaku,-1
amoniat,-1
të amonituar,-1
amonifikoj,-1
amoniuria,-1
amneziku,-1
amniotike,1
amobarbital,-1
dizenteri amebike,-1
amebiaza,-1
ameboid,-1
amebe,-1
amoralizëm,1
amoralist,1
dashuror,1
amoristik,1
dashurore,1
në mënyrë dashurore,1
amort,1
amp,1
amfipod,1
amfoterike,1
të bollshme,1
bollëk,-1
fletë amplexicaul,1
amplituda,-1
niveli i amplitudës,-1
bollshëm,1
ampulë,-1
amputoj,-1
amputimi,-1
mbytet,1
zbavitem,1
zbavitje,-1
zbavitëse,1
në mënyrë zbavitëse,1
amigdalinë,1
amigdaloidale,1
amil,1
amil nitrati,-1
amiloidoza,-1
amiotrofia,1
amiksia,-1
anabolike,1
në mënyrë anakronike,1
anaklizë,1
anaklitike,1
depresioni anaklitik,-1
anaerobe,-1
anaerobe,-1
anaerobiotike,-1
anaglif,-1
anagogjike,-1
personaliteti frenues anal,1
analbuminemia,-1
analgjezi,-1
analogjike,-1
analoge,-1
në mënyrë analoge,1
analfabetike,-1
analitike,1
rishikim analitik,1
analizuar,1
anapesti,-1
anapestik,-1
anafrodizia,-1
anafrodiziake,1
zvarranik anapsid,-1
në mënyrë anarkike,1
anarkizmi,-1
anarkist,-1
anarkiste,-1
anarkia,-1
anasarca,-1
anasarkoze,-1
lente anastigmatike,1
anastilozë,-1
anatemim,-1
anatomikisht,1
anatomizoj,1
anatomisë,1
i lashte,-1
ancohuma,1
andante,1
androsterone,1
anekdotike,-1
anekdotike,1
anekoike,-1
aneminë,1
anemike,-1
anoksia anemike,-1
hipoksi anemike,-1
anencefale,-1
anergji,1
aneroid,-1
barometri aneroid,-1
anestezi,-1
anestetik,-1
anestezist,-1
anestrus,-1
aneuploid,-1
aneuploidi,-1
aneurizma,-1
anfraktuoze,-1
engjëlli,1
engjëlli bie,1
engjëllore,1
në mënyrë engjëllore,1
zemërimi,-1
angiiti,-1
angina,-1
angina pectoris,-1
anginoze,-1
angiopatia,-1
angioplastika,-1
këndor,1
angliane,1
anglofilik,1
anglofobik,1
me inat,-1
inat,-1
i zemëruar,-1
ankth,-1
anguine,1
ankth,-1
shpejtësia këndore,1
këndoriteti,1
këndoj,1
këndimi,1
anhedonia,-1
anikterike,1
anile,-1
anima,-1
animadvert,-1
adhurues i kafshëve,-1
grup kafshësh,-1
këmbë kafshësh,-1
rendit kafshësh,-1
kafshërizëm,-1
i animuar,1
në mënyrë të animuar,1
armiqësi,-1
komponim anionik,1
biskota anise,-1
me aromë anise,-1
aniseikonia,1
anisette de bordeaux,1
anisogamet,-1
anizometropia,1
anizometropike,1
anizotropike,-1
në mënyrë anizotropike,1
ankilosaurus,1
ankiloza,-1
annapurna,1
asgjësoj,-1
asgjësimi,-1
bezdis,-1
bezdi,-1
bezdisjet,-1
i mërzitur,-1
e bezdisshme,-1
në mënyrë të bezdisshme,-1
bezdis,-1
anodine,1
anomalist,1
anormale,-1
në mënyrë anormale,1
anomali,-1
anomali,1
anon,-1
anonim,-1
në mënyrë anonime,-1
anofelinë,-1
anopia,-1
anorkizmi,-1
anoreksi nervore,-1
anoreksike,-1
anoreksigjenike,-1
anorgazmia,-1
anosmia,-1
anosmike,-1
anovulimi,-1
anoksemia,-1
anoksemike,-1
anoksia,-1
anoksike,-1
anoksia anoksike,-1
përgjigje,1
të përgjegjshëm,1
mëllenja e milingonave,1
antiacid,-1
antagonizëm,-1
antagonist,1
antagoniste,1
në mënyrë antagoniste,1
antagonizoj,-1
antarktidë,-1
patriarku paradiluvian,-1
anterioriteti,-1
anterograde,-1
anteridiale,1
antraksit,-1
antropofagji,-1
antroposofia,1
anti,-1
anti,-1
antiamerikane,-1
ilaç anti-inflamator,-1
anti izraelit,-1
kundër pushtimit,-1
kundër përhapjes,-1
antisemitët,-1
antisociale,-1
mbrojtje kundër marrjes,-1
kundër nesh,-1
kundër të bardhës,-1
antiautoritare,-1
antibakterial,1
ilaç antibiotik,1
antiklimatike,1
ilaç kundër depresionit,-1
ilaç antidiabetik,-1
antidotale,-1
ilaç antiemetik,-1
ilaç antiepileptik,1
antifeministe,-1
antimagnetike,-1
ilaç antimalarial,1
antimikrobike,1
antimicina,-1
antibiotik antineoplastik,1
antinomianizëm,1
antinomia,1
antiparalele,-1
antipatike,-1
antipatia,-1
kundër personelit,-1
antiflogistik,-1
antifrazë,-1
antipod,1
ilaç antiprotozoal,-1
antipruritik,1
antipirezë,-1
antipiretik,1
antike,-1
i vjetëruar,-1
antike,-1
antisemitike,-1
antisemitizëm,-1
antiseptik,1
antisepticizoj,1
antiserum,1
antisociale,1
antitank,-1
antiteza,1
antitetike,1
në mënyrë antitetike,1
antitiroide,-1
antitoksike,-1
antitoksina,1
antitumor,-1
antiveninë,-1
antivirale,1
si brirë,-1
anuria,-1
anurike,-1
ankthet,-1
ankthi,-1
kapje ankthi,-1
histeria e ankthit,1
neurozë ankthi,1
anksiolitike,1
i shqetësuar,-1
me ankth,-1
ankth,-1
aorist,-1
pleksus aortik,-1
stenoza e aortës,-1
aortiti,-1
apadana,1
apatike,-1
në mënyrë apatike,1
apatia,-1
apc,-1
majmuni,-1
aperient,-1
lule apetale,1
rezultati apgar,-1
afakia,-1
afakike,-1
afazi,-1
afazike,-1
afotike,-1
afrodizisë,1
afrodiziak,1
apikulloj,1
apish,-1
aplanatike,1
anemia aplastike,-1
apokalipsi,-1
apokaliptike,-1
apokromatike,1
apokrife,1
apodiktik,1
apodous,-1
me falje,1
apologu,-1
apologjetëve,-1
kërko falje,-1
falje,-1
apomorfinë,-1
apofazë,1
apofatizëm,1
apoplektoid,-1
femohues,-1
apostrofë,-1
apotegmatike,1
apoteoza,1
apotropaike,-1
i tmerrshëm,-1
apalachian,1
e tmerrshme,-1
i tmerruar,-1
e tmerrshme,1
në mënyrë të tmerrshme,-1
apanazh,1
dukshmëria,1
shfaqja,-1
ankim,1
e apelueshme,1
tërheqës,1
në mënyrë tërheqëse,1
apendiksit,-1
apendikularia,1
perceptoj,1
apetent,1
oreks,-1
apetitiv,-1
të shijshme,1
oreks,-1
duartrokas,1
kanceri i mollës,1
me aromë molle,-1
në formë molle,1
madhësia e mollës,1
tortë me mollë,-1
applecart,-1
të zbatueshme,1
aplikative,1
emëruar,1
vlerësim,1
te vleresueshme,1
vlerësoj,1
vlerësuar,1
vlerëson,1
Vleresim,-1
vlerësues,-1
në mënyrë vlerësuese,1
vlerësues,1
kapja,-1
kapjet,-1
i frikësuar,-1
me frikë,-1
qasje,1
i afrueshëm,1
miratoj,1
miratimi,1
të përshtatshme,1
përshtatshmërisë,1
miratimi,1
miratojnë,1
në mënyrë miratuese,1
përafrim,1
apraksi,-1
apraksike,-1
në vend të kësaj,1
aterale,-1
ateroz,-1
zotësia,1
përshtatshmëri,1
arabesk,1
arabe,1
punueshmëria,1
arachnoid,-1
arachnofobia,1
arame,-1
aranyaka,1
arbitrare,-1
bimë arbëreshente,1
arkadë,-1
misterioze,1
arcella,-1
hark,-1
arkaike,-1
arkaizmin,-1
arkaistike,-1
kryeengjëlli,1
kryeengjëllore,1
kryepeshkop,1
kryepeshkopata,1
kryepeshkopatë,1
arkidukale,-1
arkean,1
arkeozoik,-1
archiannelid,-1
kryepeshkopale,1
archilochus colubris,1
arkimandrit,1
molë arktiide,1
i zjarrtë,1
me zjarr,1
zjarrtë,1
zjarrtë,1
i mundimshëm,-1
me mundim,1
arefleksia,-1
argjentifer,1
ethet hemorragjike argjentinase,-1
arginine,-1
argonaut,-1
e diskutueshme,1
argumentuese,1
ariadne,1
arianizëm,1
në mënyrë aristokratike,1
logjika aristoteliane,1
në mënyrë aritmetike,1
arjuna,1
gjatësia e krahut,-1
armagedon,-1
të armatosur,-1
dita e forcave të armatosura,1
armen,1
kishe armine,1
arminizmi,1
si krahu,-1
dinosaur i blinduar,1
forca të blinduara,-1
të blinduara,-1
mjet i blinduar,-1
përreth,1
zgjimin,1
i ngjallur,1
gjykoj,-1
varg,1
aritmike,-1
arrogancë,-1
arrogante,-1
me arrogancë,1
arrogator,-1
arroz con pollo,1
departamenti i artit,1
letër arti,1
rrugë arteriale,1
arteriektazi,-1
arteriosklerotike,-1
arteriti,-1
arterie,1
artizanale,1
me mjeshtëri,1
mjeshtëri,1
artralgji,-1
artriti,-1
artropati,1
artikuloj,-1
i artikuluar,-1
artificiale,-1
lule artificiale,-1
frymëmarrje artificiale,-1
artificialiteti,-1
artistike,1
prodhimi artistik,1
artistikisht,1
pa art,1
mungesë arti,1
artet dhe zanatet,1
arti,-1
dinak arti,1
ashtu sic eshte,-1
si zakonisht,1
asafoetida,-1
asbestoza,-1
ashensional,-1
ascensive,-1
asketikisht,1
asketizëm,1
tadpole ascidiane,1
askoma,1
riprodhimi aseksual,-1
në mënyrë aseksuale,1
i turpëruar,-1
me turp,-1
gripi aziatik,-1
mënjanë,-1
asinine,-1
asininely,-1
asininitet,-1
asinitet,1
kërkoni telashe,-1
shtrembër,-1
asociale,-1
aspartam,1
sindromi i aspergerit,-1
aspergilloza,-1
aspergillus fumigatus,-1
asperse,-1
aspersion,-1
aspersionet,-1
asferike,1
asfiksia,-1
i asfiksuar,-1
asfiksuese,-1
aspirata,1
pneumonia aspirative,-1
aspiratat,1
aspiroj,1
sulmojnë,-1
sulmueshmëria,-1
vrasës,-1
bëj atentat,1
sulmi,-1
analizë,1
vlerësues,1
asentent,1
i pohueshëm,1
pohoi,1
me bindje,1
vlerësojnë,1
te vleresueshme,1
aseteve,1
asimilojnë,1
asimilimi,1
asimiluese,-1
asimiluese,-1
asistojnë,1
profesor asistent,-1
ndihmëse,1
i shoqërueshëm,1
shoqërizueshmëria,1
bashkëpunëtor,-1
bashkëpunëtor në infermieri,-1
profesor i asociuar,1
shoqërues,-1
sulmi,-1
supozoj,-1
supozuese,1
sigurim,1
garancitë,1
siguroj,1
i sigurt,1
me siguri,-1
duke siguruar,1
astasia,-1
astatike,-1
asterioze,1
asternal,-1
astenike,1
astenosfera,-1
asteni,-1
astmatike,-1
astigmia,-1
astomatike,-1
habitur,1
i habitur,1
befasues,1
në mënyrë të habitshme,1
habi,-1
mahnitur,-1
i habitur,1
befasues,1
në mënyrë të habitshme,1
astrafobia,1
i humbur,-1
astringency,-1
astringent,-1
astrofizikan,-1
me zgjuarsi,1
astilare,-1
copëtohem,-1
asura,-1
asvins,1
asimetrike,-1
asinkron,-1
funksionimi asinkron,-1
asindetike,-1
asyndeton,1
asinergjike,-1
asinergji,-1
ne faj,-1
në shikim të parë,-1
në mosmarrëveshje,-1
të paktën,-1
më së shumti,-1
në gatishmëri,1
ataraksia,1
ataksik,-1
abasia ataksike,-1
ateizmin,1
ateist,-1
atletike,1
lojë atletike,1
athyrium distentifolium,1
atm,1
fenomen atmosferik,-1
atonalitet,-1
atonike,-1
atoni,-1
ekzemë atopike,1
atopognozë,-1
defekt septal atrial,-1
mizor,-1
mizoritë,-1
mizori,-1
atrofike,1
atrofi,-1
bashkëngjitni,1
të bashkëngjitshme,1
sulm,-1
duke sulmuar,1
sulmet,-1
arritshmëria,1
tentuar,-1
vëmendje,-1
i vëmendshëm,1
me vëmendje,1
vëmendje,1
zbutur,-1
dëshmojnë,1
vërtetues,1
qëndrimit,-1
tërheqin,1
tërheqëse,1
tërheqje,1
tërheqëse,1
telash tërheqës,-1
në mënyrë tërheqëse,1
atraktiviteti,1
i atribuar,1
atribuimi,1
rasën gjinore atributive,-1
në mënyrë atributive,1
i rrahur,-1
gërryerje,-1
harmonizoj,1
au gratin,-1
ngjyrë gështenjë,-1
i guximshëm,-1
me guxim,1
guxim,-1
guxim,-1
audeneske,1
të dëgjueshme,1
dëgjueshmëria,1
në mënyrë të dëgjueshme,1
me guxim,-1
auditor,-1
agnozia dëgjimore,-1
augean,-1
stalla augean,-1
augeas,-1
atmosferë,-1
dëgjimore,1
të drejtë,1
kujdesin,1
të mbarë,1
i ashpër,-1
harkë australiane,-1
autarkike,1
autentike,1
gjuha e autorit,-1
autoritare,-1
autoritare,1
autoriteti,1
i autorizuar,-1
autizmin,-1
autike,-1
kufizim automatik,1
autobahn,1
autokoid,1
autokrat,-1
autokratike,-1
në mënyrë autokratike,1
autoerotike,1
autofluoreshencë,-1
autogame,1
automatikisht,1
automatizmin,-1
automisofobia,-1
autonome,1
çrregullim autosomik dominant,-1
sëmundje autosomale recesive,-1
organizmi autotrofik,1
dobi,1
në dispozicion,1
orteku,-1
koprracia,-1
koprraci,-1
me koprraci,-1
hakmarrje,-1
aver,1
mesatare jashtë,-1
përbuzje,1
urrejtje,-1
neveri,-1
terapi aversioni,1
neveritëse,-1
i zjarrtë,1
me zjarr,1
jovirulent,-1
avuncular,1
zgjuar,1
zgjohen,1
çmim,1
fitues i çmimit,1
dhënë,1
çmime,1
larg,-1
frikë,-1
i tmerruar,1
i tmerrshëm,-1
mbresëlënës,1
në mënyrë të mrekullueshme,1
tmerr,1
i mahnitur,1
e tmerrshme,-1
tmerrësisht,-1
tmerri,-1
awing,1
i sikletshëm,1
në mënyrë të sikletshme,1
siklet,-1
në formë fëndyle,1
i tmerrshëm,1
me tendë,-1
i pafund,-1
shtrembër,1
i tmerrshëm,1
sëpatë,-1
dorezë sëpatë,-1
aksenik,-1
në mënyrë boshtore,1
aksiomë,-1
ayrshire,1
azonale,-1
azonike,-1
azoti,-1
azigote,-1
azimia,-1
limfocitet b,1
b meson,-1
arrë babassu,-1
llomotitje,-1
babel,-1
babelike,-1
shenjë babinski,1
babunish,1
babu,1
përballë foshnjës,1
fëmijëror,-1
bacitracinë,1
mbrapa,-1
djegës prapa,-1
mbrapa i regjistruar,-1
mbrapa përtej,1
rezervo,1
mbrapa dru,-1
pyjet e pasme,-1
dhimbje shpine,-1
dhimbjet e shpinës,-1
dhimbje shpine,-1
rrahje shpine,-1
përgojimi,-1
përgojimi,-1
shtyllë kurrizore,1
data e prapambetur,1
fushë e pasme,-1
njohuri të sfondit,1
sfond,-1
makinë prapa,-1
i prapambetur,1
pa kurriz,-1
ndriçimi i pasëm,-1
të prapambetura,-1
pedale,-1
sedilja e pasme,-1
shoferi i sediljes së pasme,1
shuplakë shpine,-1
shpifës,-1
shpatë e pasme,1
rezervë,-1
prapambetur,1
prapambetja,-1
dru prapambetur,-1
pyjet e pasme,-1
lëkura e proshutës,1
shirit proshutë,1
llojet e baktereve,1
bakteremia,-1
bakteroliza,-1
bakterolitike,-1
bakteriostaza,1
bakteriostatik,-1
bakteri,1
keq,-1
gjak i keq,-1
vezë e keqe,-1
zanë e keqe,-1
djal i keq,-1
